num_downloads,downloaded_data,country
39597081,11168000.68,USA
68623384,3480519,China
8386889,1603986.37,France
6005376,1532490.41,UK
3395586,1376526.45,Germany
8576040,1147969.61,Japan
4519138,940026.43,Korea
5785576,910377.02,Switzerland
2556628,742126.28,Australia
4853015,558692.7,Spain
3477185,475912.98,Canada
413995,475250.16,Belgium
1934212,411301.28,Norway
2680561,378357.34,India
1264668,321525.68,Italy
959798,312630.98,Hong Kong
2913437,303512.98,Sweden
1400131,261266.07,Taiwan
153170,245735.75,Turkey
489662,208309.97,Singapore
1280865,180147.64,Netherlands
729790,171019.35,Austria
667004,160660.14,Brazil
345853,152768.83,New Zealand
267423,142231.92,Israel
279057,114226.27,South Africa
351598,94770.8,Saudi Arabia
171926,91155.01,Portugal
118825,81335.24,Thailand
129219,61481,Ireland
367114,40217.6,Denmark
537126,40006.36,Russia
72631,39012.22,Vietnam
318539,38392.7,Argentina
131288,33779.12,Chile
85190,33696.14,Colombia
164424,31855.04,Malaysia
160415,25837.55,Finland
43426,18598.46,Mexico
6279,17003.9,Morocco
80037,14701.99,Greece
48571,14431.42,Pakistan
72054,13538.88,United Arab Emirates
21599,12580.38,Costa Rica
27645,11894.65,Indonesia
70171,11774.9,Peru
11995,9615.46,Philippines
51224,9039.21,Czech Republic
252698,8632.45,Iran
17545,7746.28,Bangladesh
74357,7366.66,Ethiopia
11437,7014.38,Mongolia
18122,6642.89,Romania
32230,6629.75,Mauritius
16770,5966.9,Cote d'Ivoire
20906,3952.54,Cyprus
25841,3369,Nepal
7928,2991.35,Hungary
3055,2737.41,Reunion
20534,2510.28,Guatemala
12987,2447.56,Ukraine
8808,2444.12,Algeria
26974,2385.74,Tunisia
15660,2284.9,Kenya
57654,2263.06,Egypt
12530,1869.24,Ghana
10252,1699.31,Latvia
493,1566.38,Guyana
1472,1564.24,Uganda
4527,1409.07,Senegal
13160,1330.84,Poland
4353,1231.29,Macau
10054,1054.87,Cambodia
5609,960.28,Uruguay
6370,954.73,Serbia
8027,880.81,Nigeria
3121,839.61,Sri Lanka
7376,677.02,Qatar
2115,649.96,Burkina Faso
531,594.57,Estonia
8355,582.51,Tanzania
2078,578.49,Bolivia
6284,546.67,Bahrain
4785,415.19,Benin
5447,397.3,Cuba
967,321.99,Croatia
3153,316.35,Rwanda
2242,292.58,Moldova
2029,291.81,Myanmar
2750,280.54,Bulgaria
449,276.07,Oman
5344,265.18,Botswana
895,247.2,Togo
664,209.31,Luxembourg
624,207.79,Malta
168,192.29,Bhutan
1781,182.22,Cameroon
658,153.57,Ecuador
418,133.94,Lebanon
964,122.56,Lithuania
2039,108.69,Jordan
2340,99.04,Panama
1436,93.94,Palestine
1176,78.83,Iceland
1249,74.84,Iraq
292,71.84,Niger
96,66.08,Mali
1243,57.65,El Salvador
36,54.01,Tajikistan
21,50.97,Grenada
3239,47.74,Antarctica
31,33.13,Slovenia
149,32.88,Nicaragua
1879,31.51,Greenland
320,31.46,Barbados
284,29.26,Aland Islands
175,27.79,Laos
2856,24.26,Sudan
3,18.56,Aruba
565,16.88,Zambia
41,14.13,Brunei Darussalam
910,13.79,Venezuela
24,13.53,Isle of Man
284,11.41,Dominican Republic
114,11.11,Puerto Rico
159,10.79,Seychelles
9,9.03,Kuwait
888,8.29,Afghanistan
28,7.47,Vatican City
28,7.3,Armenia
18,7.07,Fiji
182,6.27,Belarus
40,5.9,Albania
130,5.68,Burundi
81,5.4,Trinidad and Tobago
181,5.38,Kyrgyzstan
28,5.37,Uzbekistan
22,4.85,Slovakia
53,4.8,Madagascar
1,3.26,Saint Lucia
215,3.06,Kazakhstan
24,2.27,Zimbabwe
4,1.74,Namibia
5,1.63,Cayman Islands
13,1.35,Saint Kitts and Nevis
11,1.25,Gambia
10,1.16,Congo (Kinshasa)
256,1.05,Belize
26,0.97,Comoros
7,0.93,Mozambique
200,0.88,Papua New Guinea
3,0.62,Azerbaijan
15,0.54,Malawi
3,0.45,Jamaica
14,0.36,Cape Verde
1,0.2,Andorra
11,0.14,Swaziland
9,0.1,Mauritania
2,0.09,Maldives
15,0.07,Libya
2,0.07,Macedonia
2,0.05,Sierra Leone
2,0.05,Guernsey
2,0.02,Bahamas
2,0.02,Chad
3,0.02,Djibouti
19,0.01,Somalia
1,0.01,Georgia
1,0,Guam
