experiment_name,number_of_downloads,total_size_GB
historical,77158051,14797414.21
ssp585,19509080,4908545.58
ssp245,44211309,4451470.63
picontrol,20992843,4102909.19
ssp126,11402628,2643267.44
ssp370,11430692,2436484.63
highressst-present,2212567,1057849.73
amip,1574046,1000836.26
abrupt-4xco2,4537749,918907.35
hist-1950,3971456,862884.75
1pctco2,3536328,736083.23
dcppa-hindcast,16890372,706667.45
highressst-future,703311,400130.27
highres-future,1659429,339179.92
control-1950,1582199,329517.33
hist-nat,692168,324499.80
hist-ghg,625510,303063.58
ssp119,3616755,302843.45
hist-aer,603737,282017.11
ssp534-over,1100079,172240.11
omip2,254589,169732.46
ssp460,1240090,131861.94
ssp434,1498696,114430.73
esm-picontrol,466460,104308.83
midholocene,552038,103696.72
esm-hist,370164,99157.95
omip1,235800,97058.99
lig127k,421968,82122.36
hist-nolu,408228,78614.08
1pctco2-bgc,502716,73697.44
pdsst-pdsic,903328,45888.20
midpliocene-eoi400,186398,45724.00
1pctco2-cdr,104604,44187.83
hist-piaer,194862,40487.49
lgm,143176,37028.19
1pctco2-rad,304455,35780.82
hist-pintcf,333202,35187.18
pdsst-futarcsic,720208,32412.45
hist-strato3,48392,30443.74
dcppc-amv-pos,280031,29560.12
ssp370-lowntcf,177626,28952.61
dcppc-amv-neg,275770,27549.72
esm-ssp585,244394,25948.09
deforest-globe,130068,25276.49
hist-bgc,45416,25072.40
past1000,380090,24829.14
amip-hist,45804,23214.88
hist-1950hc,124193,22257.40
past2k,166394,21358.92
hist-volc,44757,20977.60
histsst,91245,19879.52
hist-sol,52975,19671.01
ssp245-cov-strgreen,234016,19114.89
amip-p4k,34713,17829.91
ssp245-ghg,41041,17280.57
g6sulfur,99240,17048.55
ssp245-cov-modgreen,210390,16807.67
pdsst-piarcsic,316333,16027.00
amip-lfmip-pdlc,166034,15675.62
abrupt-2xco2,21890,14541.55
ssp370-ssp126lu,44612,14422.81
ssp245-nat,37267,14388.01
g6solar,57036,13744.17
faf-all,15071,13631.44
ssp245-cov-fossil,182712,13224.18
dcppc-atl-control,80235,12495.23
futsst-pdsic,241773,12404.79
ssp126-ssp370lu,34785,12331.15
dcppc-atl-pacemaker,16947,11695.68
esm-1pct-brch-1000pgc,77987,11404.87
dcppc-amv-extrop-pos,64857,11204.74
faf-passiveheat,12992,11095.97
land-hist,175260,11024.55
faf-water,13780,11017.60
histsst-pintcf,22155,10770.67
faf-heat,14404,10587.66
faf-stress,11931,10563.31
piclim-control,157948,10528.82
dcppc-pac-pacemaker,14142,10448.02
dcppc-amv-extrop-neg,62707,10338.95
amip-4xco2,21459,10278.55
amip-lfmip-rmlc,114100,10224.50
pdsst-futbkseassic,151291,9871.61
g1,12415,9514.86
abrupt-0p5xco2,11619,8746.25
ssp245-aer,30210,8685.10
pisst-pdsic,147546,8629.25
ssp585-bgc,11858,7523.44
dcppc-amv-trop-neg,56740,7517.48
hist-co2,14966,7445.14
dcppc-pac-control,42098,7367.92
pdsst-futantsic,165960,7364.29
ssp245-covid,79387,7121.28
dcppc-ipv-pos,33401,6607.34
pisst-pisic,97328,6517.65
dcppa-assim,13697,6446.58
dcppc-amv-trop-pos,45870,6371.56
dcppc-ipv-neg,30621,6140.03
ssp370sst,51724,6095.44
piclim-histall,70689,6052.04
amip-future4k,17450,5741.83
histsst-pich4,44487,5739.96
piclim-aer,99514,5320.42
faf-heat-na50pct,6928,5109.67
amip-piforcing,8854,5061.94
ssp370sst-lowntcf,37646,4843.50
pdsst-futokhotsksic,83443,4455.39
histsst-piaer,68152,4443.94
abrupt-solp4p,5717,4422.70
spinup-1950,14063,4296.99
piclim-histaer,78416,4181.85
piclim-2xdust,34856,4173.36
dcppc-ipv-nextrop-neg,38000,4112.47
ssp370-lowntcfch4,39412,4063.35
ssp370pdsst,34020,3888.38
dcppb-forecast,97923,3841.06
abrupt-solm4p,4276,3723.21
omip1-spunup,1604,3373.30
ssp534-over-bgc,4904,3370.74
dcppc-ipv-nextrop-pos,28945,3261.70
hist-totalo3,11874,3244.92
amip-m4k,7180,3097.89
esm-ssp585-ssp126lu,12110,3053.80
ssp245-strato3,7090,2985.32
hist-resipo,10529,2776.47
1pctco2ndep,8813,2751.65
land-hist-cruncep,8884,2675.70
ssp370sst-lowntcfch4,27942,2633.67
piclim-bc,9300,2581.22
piclim-ch4,14172,2531.67
piclim-histghg,33256,2447.23
piclim-ntcf,11582,2445.75
piclim-hc,5163,2319.67
pa-pdsic,153621,2280.53
hist-resamo,2842,2265.27
piclim-so2,6707,2254.90
pa-pdsic-ext,28738,2231.98
pa-futarcsic,157564,2222.50
histsst-1950hc,4937,2191.23
1pctco2ndep-bgc,7499,2174.31
piclim-4xco2,25402,2100.86
ssp370sst-ssp126lu,2081,2065.05
esm-1pct-brch-2000pgc,7926,2053.80
amip-lwoff,3789,2038.61
pa-futarcsic-ext,35662,2022.34
histsst-pin2o,1689,1956.80
land-hist-wfdei,2181,1869.28
piclim-ghg,16832,1845.36
esm-1pct-brch-750pgc,7321,1811.35
piclim-histnat,26432,1800.20
land-hist-princeton,7023,1709.63
piclim-anthro,16999,1672.63
land-nolu,69418,1592.79
piclim-2xnox,2011,1583.84
pisst-pxk,2167,1554.38
amip-p4k-lwoff,3233,1489.56
picontrol-spinup,2160,1478.99
faf-heat-na0pct,1404,1455.83
land-hist-altstartyear,28459,1420.43
piclim-2xvoc,3493,1417.63
piclim-oc,5511,1398.18
esm-pi-co2pulse,7207,1353.93
pisst,3099,1352.09
piclim-2xfire,5788,1324.77
pdsst-piantsic,84085,1313.28
piclim-2xss,5832,1299.47
amip-a4sst-4xco2,2000,1262.04
histsst-pio3,876,1237.90
hist-spaer-all,6649,1216.65
piclim-nox,2022,1208.27
pisst-4xco2-rad,2191,1201.38
esm-ssp534-over,2537,1193.69
ssp370sst-lowaer,7950,1175.50
giss-e2-1-g,5709,1164.93
dcppc-hindcast-noagung,10362,1132.02
a4sst,2506,1116.01
piclim-voc,1675,1092.07
piclim-n2o,2958,1090.08
esm-picontrol-spinup,1702,1079.72
piclim-2xdms,4985,1073.14
a4sstice,2575,1069.18
esm-pi-cdr-pulse,5698,1068.78
pisst-4xco2,2496,1042.73
piclim-lu,18776,1035.52
pa-piarcsic,70785,1027.79
aqua-control,5300,1011.45
a4sstice-4xco2,2445,1010.75
ssp370sst-lowbc,3859,1008.76
g7cirrus,2006,941.91
dcppc-hindcast-noelchichon,10194,921.52
dcppc-hindcast-nopinatubo,10013,894.35
ssp585-withism,3873,849.59
land-cclim,17161,829.71
land-cco2,16641,826.33
aqua-p4k,4524,726.32
amip-lfmip-pobs,1230,696.11
ssp370sst-lowch4,971,645.59
aqua-4xco2,3596,637.78
hist-o3,1698,595.02
volc-long-eq,4910,586.27
omip2-spunup,3061,539.27
historical-withism,2647,495.31
ssp370sst-lowo3,727,454.83
piclim-o3,967,402.25
amip-tip,767,370.60
dcppc-forecast-addelchichon,3305,359.34
dcppc-forecast-addagung,3965,347.30
land-noshiftcultivate,30855,319.12
amip-tip-nosh,644,309.78
1pctco2-4xext,2624,301.20
aqua-p4k-lwoff,2661,298.53
aqua-control-lwoff,3082,296.16
picontrol-withism,2115,291.33
modelsst-futarcsic,9524,264.90
pa-futantsic,24160,259.25
dcppc-forecast-addpinatubo,3050,257.53
pa-piantsic,23627,233.97
faf-antwater-stress,290,231.36
esm-1pctco2,2559,224.08
amip-hld,510,211.06
esm-ssp585-ocn-alk,299,205.15
volc-pinatubo-full,10338,198.15
ssp245-cov-aer,1171,195.75
land-crop-nofert,1681,186.14
pdsst-pdsicsit,28048,183.59
piclim-nh3,229,178.36
ssp245-cov-ghg,1048,173.74
pdsst-futarcsicsit,25731,171.88
piclim-spaer-anthro,2390,171.65
lfmip-pdlc,414,162.38
historical-ext,2416,144.27
transient-deglaciation-prescribed-glac1d-methane,3874,143.65
lfmip-rmlc,417,143.44
modelsst-pdsic,8622,140.89
land-nofire,2725,111.44
hist-ghg-cmip5,330,95.72
hist-aer-cmip5,318,94.97
historical-cmip5,485,91.05
hist-nat-cmip5,305,89.64
1pctco2to4x-withism,1525,89.03
piclim-spaer-aer,2113,88.73
land-nowoodharv,3548,83.51
land-crop-noirrig,669,65.38
land-crop-noirrigfert,422,54.27
picontrol-cmip5,71,41.87
land-crop-grass,963,39.75
esm-ssp585ext,164,38.95
esm-ssp585-ocn-alk-stop,62,37.27
transient-deglaciation-prescribed-glac1d,2943,37.22
histsst-nolu,99,31.62
rcp85-cmip5,276,26.57
transient-deglaciation-prescribed-ice6g,1947,24.24
land-hist-altlu1,1846,24.24
rad-irf,50414,22.71
volc-pinatubo-strat,1107,21.04
volc-pinatubo-surf,1150,20.57
land-hist-altlu2,1821,19.39
rcp45-cmip5,189,14.30
rcp26-cmip5,188,12.91
piclim-spaer-histall,155,8.87
piclim-spaer-histaer,102,7.85
dcppc-atl-spg,680,2.93
piclim-2xco2,19,0.89
noresm2-lm,366,0.44
be,1,0.05
ssp585-future-methane,4,0.02
ssp126-future-methane,13,0.01
ssp370-future-methane,6,0.01
ssp119-future-methane,1,0.01
ave,13,0.00
