dimension,number_of_datasets,total_size_TB
AER,24,0
AS-RCEC,106780,245.69
AWI,146457,335.52
BCC,142028,407.61
CAMS,6807,25.37
CAS,207389,586.82
CCCR-IITM,3855,79.89
CCCma,1912046,974.79
CMCC,718703,619.6
CNRM-CERFACS,787551,1674.43
CSIRO,323856,670.33
CSIRO-ARCCSS,49179,165.98
CSIRO-COSIMA,822,29.94
DKRZ,56685,586.15
DWD,13862,67.56
E3SM-Project,20529,70.83
EC-Earth-Consortium,749155,3883.03
ECMWF,6600,85.06
FIO-QLNM,7692,16.07
HAMMOZ-Consortium,42527,305.08
INM,21669,80.55
IPSL,2799659,4207.71
KIOST,7095,35.66
LLNL,358,0.29
MIROC,1155086,1930.67
MOHC,899399,2223.86
MPI-M,632845,3104.15
MRI,506560,1722.91
NASA-GISS,362078,491.04
NCAR,1615334,1521.02
NCC,1332196,845.98
NERC,17231,98.74
NIMS-KMA,20865,86.61
NIWA,2925,6.12
NOAA-GFDL,38184,158.95
NTU,367,4.98
NUIST,8290,45.92
RTE-RRTMGP-Consortium,8,0
RUBISCO,484,0.25
SNU,3250,29.73
THU,4373,9.21
UA,1427,0.71
UCI,48719,1.1
UCSB,4154,10.9
UHH,16,0

