dimension,number_of_datasets,total_size_TB
4AOP-v1-5,12,0
ACCESS-CM2,49179,165.98
ACCESS-ESM1-5,323856,670.33
ACCESS-OM2,608,5.77
ACCESS-OM2-025,214,24.18
ARTS-2-3,16,0
AWI-CM-1-1-HR,355,9.91
AWI-CM-1-1-LR,356,1.12
AWI-CM-1-1-MR,140048,263.2
AWI-ESM-1-1-LR,5698,61.3
BCC-CSM2-HR,1353,84.59
BCC-CSM2-MR,119101,296.24
BCC-ESM1,21574,26.78
CAMS-CSM1-0,6807,25.37
CAS-ESM2-0,9631,13.56
CESM1-1-CAM5-CMIP5,760958,178.44
CESM1-CAM5-SE-HR,730,30.07
CESM1-CAM5-SE-LR,801,0.69
CESM1-WACCM-SC,206490,0.71
CESM2,514331,808.27
CESM2-FV2,22033,63.14
CESM2-WACCM,91864,366.55
CESM2-WACCM-FV2,18127,73.18
CIESM,4373,9.21
CMCC-CM2-HR4,3181,62.39
CMCC-CM2-SR5,694867,295.97
CMCC-CM2-VHR4,1260,111.71
CMCC-ESM2,18300,148.15
CMCC-ESM2-SR5,1095,1.39
CNRM-CM6-1,592648,608.37
CNRM-CM6-1-HR,18291,463.45
CNRM-ESM2-1,176612,602.62
CanESM5,1816835,878.59
CanESM5-1,73311,57.25
CanESM5-CanOE,21900,38.96
E3SM-1-0,58272,32.39
E3SM-1-1,3494,5.28
E3SM-1-1-ECA,1847,4.23
E3SM-2-0,9129,34.4
E3SM-2-0-NARRM,1502,7.07
EC-Earth3,551873,2294.36
EC-Earth3-AerChem,24077,233.49
EC-Earth3-CC,51128,145.02
EC-Earth3-HR,51926,52.15
EC-Earth3-LR,2140,30.96
EC-Earth3-Veg,43534,643.8
EC-Earth3-Veg-LR,14095,70.9
EC-Earth3P,5310,78.82
EC-Earth3P-HR,5068,333.56
EC-Earth3P-VHR,4,0
ECMWF-IFS-HR,2480,56.71
ECMWF-IFS-LR,2940,14.38
ECMWF-IFS-MR,1180,13.98
FGOALS-f3-H,1074,276.65
FGOALS-f3-L,169190,111.08
FGOALS-g3,27494,185.55
FIO-ESM-2-0,7692,16.07
GFDL-AM4,251,0.23
GFDL-CM4,12830,70.9
GFDL-CM4C192,782,6.29
GFDL-ESM2M,999,2.02
GFDL-ESM4,23262,79.06
GFDL-GRTCODE,12,0
GFDL-OM4p5B,44,0.47
GFDL-RFM-DISORT,4,0
GISS-E2-1-G,282853,358.5
GISS-E2-1-G-CC,6459,9.84
GISS-E2-1-H,37105,58.74
GISS-E2-2-G,31609,56.86
GISS-E2-2-H,3111,4.92
GISS-E3-G,941,2.21
HadGEM3-GC31-HH,1344,161.28
HadGEM3-GC31-HM,4692,349.4
HadGEM3-GC31-LL,100575,314.3
HadGEM3-GC31-LM,2446,7.24
HadGEM3-GC31-MH,395,19.68
HadGEM3-GC31-MM,600508,764.43
HiRAM-SIT-HR,593,46.66
HiRAM-SIT-LR,759,9.72
ICON-ESM-LR,3926,27.09
IITM-ESM,3855,79.89
INM-CM4-8,7193,20.04
INM-CM5-0,13297,56
INM-CM5-H,1179,4.52
IPSL-CM5A2-INCA,11396,24.76
IPSL-CM6A-ATM-HR,894,39.79
IPSL-CM6A-ATM-ICO-HR,1278,80.1
IPSL-CM6A-ATM-ICO-LR,1318,6.4
IPSL-CM6A-ATM-ICO-MR,1278,20.84
IPSL-CM6A-ATM-ICO-VHR,1258,425.25
IPSL-CM6A-ATM-LR-REPROBUS,211,0.28
IPSL-CM6A-LR,2758245,2857.74
IPSL-CM6A-LR-INCA,8418,34.82
IPSL-CM6A-MR1,15351,717.79
KACE-1-0-G,8704,48.11
KIOST-ESM,7095,35.66
LBLRTM-12-8,16,0
MCM-UA-1-0,1427,0.71
MIROC-ES2H,19455,80.14
MIROC-ES2H-NB,3278,4.56
MIROC-ES2L,419156,707.61
MIROC6,711625,1011.05
MPI-ESM-1-2-HAM,42527,305.08
MPI-ESM1-2-HR,161521,1793.44
MPI-ESM1-2-LR,536283,1906.28
MPI-ESM1-2-XR,1662,31.07
MRI-AGCM3-2-H,1479,47.18
MRI-AGCM3-2-S,1469,373.34
MRI-ESM2-0,503612,1302.4
NESM3,8290,45.92
NICAM16-7S,551,18.44
NICAM16-8S,510,59.42
NICAM16-9S,511,49.48
NorCPM1,477577,80.43
NorESM1-F,1631,2.82
NorESM2-LM,831268,510.32
NorESM2-MM,21720,252.42
RRTMG-LW-4-91,4,0
RRTMG-SW-4-02,4,0
RTE-RRTMGP-181204,8,0
SAM0-UNICON,3250,29.73
TaiESM1,105428,189.33
TaiESM1-TIMCOM,198,2.71
TaiESM1-TIMCOM2,169,2.28
UKESM1-0-LL,218607,743.47
UKESM1-1-LL,2445,6.44
UKESM1-ice-LL,704,1.01

