source_id_name,number_of_downloads,total_size_GB
EC-EARTH3,70435077,5091534.63
IPSL-CM6A-LR,2965261,3845623.97
MPI-ESM1-2-HR,6702396,3490023.05
CESM2,2925271,2611059.73
EC-EARTH3-VEG,26135094,2261190.15
CNRM-CM6-1,1884740,1682098.93
CNRM-ESM2-1,1121167,1527309.08
CNRM-CM6-1-HR,509077,1491870.86
GFDL-ESM4,743414,1376423.86
CESM2-WACCM,1343799,1314052.62
ACCESS-ESM1-5,2865244,1259006.45
MPI-ESM1-2-LR,15990665,1101555.91
HADGEM3-GC31-MM,3896074,1065977.01
UKESM1-0-LL,1243827,965355.79
AWI-CM-1-1-MR,9503165,956288.43
MRI-ESM2-0,676224,757758.96
CMCC-CM2-SR5,1233738,679533.60
MIROC6,2975080,627825.30
ACCESS-CM2,1078208,594693.43
CMCC-ESM2,673586,512782.01
CANESM5,1472559,505869.29
BCC-CSM2-MR,512044,433028.50
HADGEM3-GC31-LL,779606,432680.23
EC-EARTH3P-HR,1392767,403934.09
HADGEM3-GC31-HM,538839,390824.24
EC-EARTH3-AERCHEM,5880086,335362.43
EC-EARTH3-CC,10142799,328164.12
NORESM2-MM,844238,301821.82
MRI-AGCM3-2-S,162968,284327.30
GFDL-CM4,198945,262437.81
EC-EARTH3-VEG-LR,10813346,246272.73
CMCC-CM2-HR4,1188052,215638.95
INM-CM5-0,12517575,212934.57
CMCC-CM2-VHR4,1480952,211370.89
HADGEM3-GC31-HH,333319,210969.97
GISS-E2-1-G,873495,193491.05
MPI-ESM-1-2-HAM,691406,171023.21
NORESM2-LM,1481281,163623.75
TAIESM1,370841,159575.00
E3SM-1-0,768156,154503.21
FGOALS-F3-H,102773,149550.60
MIROC-ES2L,1791217,146574.76
CESM2-WACCM-FV2,361635,130923.71
AWI-ESM-1-1-LR,3157597,122754.10
CESM2-FV2,361752,121777.57
INM-CM4-8,12282636,119617.83
ECMWF-IFS-HR,515042,117716.70
CESM1-CAM5-SE-HR,34903,100511.82
IPSL-CM6A-ATM-HR,11413,95541.10
CAMS-CSM1-0,85956,85612.36
CESM1-1-CAM5-CMIP5,918133,80751.58
FGOALS-G3,1360580,79767.16
HIRAM-SIT-HR,43542,79727.72
E3SM-2-0,197711,77455.82
IPSL-CM6A-ATM-ICO-VHR,13346,72799.36
KACE-1-0-G,44394,71344.15
FGOALS-F3-L,260764,69850.47
IPSL-CM6A-MR1,40951,64243.66
SAM0-UNICON,531428,63298.90
EC-EARTH3P,1359192,61345.09
MPI-ESM1-2-XR,353022,57377.38
IPSL-CM6A-LR-INCA,21062,54449.62
EC-EARTH3-LR,1431585,53179.99
KIOST-ESM,68522,52634.26
BCC-ESM1,116297,46692.97
NORCPM1,465250,46471.27
ICON-ESM-LR,273937,45534.24
