variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
thetao,Sea Water Potential Temperature,mon,Omon,1811359.27,2352600
ua,Eastward Wind,mon,Amon,1806876.41,28026138
ua,Eastward Wind,6hrPt,6hrLev,1598771.52,177363
va,Northward Wind,6hrPt,6hrLev,1588914.67,172614
hus,Specific Humidity,6hrPt,6hrLev,1413408.35,168099
pr,Precipitation,day,day,1318432.46,7037246
ua,Eastward Wind,day,day,1303137.03,1269405
ta,Air Temperature,6hrPt,6hrLev,1295989.96,161853
va,Northward Wind,day,day,1241996.01,11936468
vo,Sea Water Y Velocity,mon,Omon,1035349.06,1009365
so,Sea Water Salinity,mon,Omon,968900.31,1314322
uo,Sea Water X Velocity,mon,Omon,922528.32,1019189
ta,Air Temperature,day,day,758189.77,903850
tas,Near-Surface Air Temperature,day,day,719357.25,4429567
tasmax,Daily Maximum Near-Surface Air Temperature,day,day,711818.02,4424565
hus,Specific Humidity,day,day,688829.12,679794
zg,Geopotential Height,day,day,642540.82,814081
va,Northward Wind,mon,Amon,630617.20,3745425
ua,Eastward Wind,6hrPt,6hrPlevPt,554886.23,229811
tasmin,Daily Minimum Near-Surface Air Temperature,day,day,554376.25,3656291
va,Northward Wind,6hrPt,6hrPlevPt,508375.89,216659
ta,Air Temperature,6hrPt,6hrPlevPt,506998.06,168552
tos,Sea Surface Temperature,day,Oday,491956.07,846264
wap,Omega (=dp/dt),day,day,456695.78,351397
hus,Specific Humidity,6hrPt,6hrPlevPt,436422.63,62452
zg,Geopotential Height,6hrPt,6hrPlevPt,396600.20,86229
hur,Relative Humidity,day,day,389337.81,348848
pr,Precipitation,3hr,3hr,381623.00,348719
ta,Air Temperature,mon,Amon,373765.10,2791384
wo,Sea Water Vertical Velocity,mon,Omon,364044.87,311515
zg,Geopotential Height,mon,Amon,354200.45,2954251
hus,Specific Humidity,mon,Amon,314112.59,1905623
va,Northward Wind,day,CFday,304201.92,32817
ua,Eastward Wind,day,CFday,282828.02,32544
hurs,Near-Surface Relative Humidity,day,day,272575.12,1529537
hus,Specific Humidity,day,CFday,259820.44,27151
wap,Omega (=dp/dt),mon,Amon,244677.13,1213157
hur,Relative Humidity,day,CFday,242663.52,30502
sfcwind,Near-Surface Wind Speed,day,day,240544.55,1377829
psl,Sea Level Pressure,day,day,227537.83,1819175
ta,Air Temperature,day,CFday,223325.28,27779
tos,Sea Surface Temperature,mon,Omon,208915.79,6578930
ua,Eastward Wind,day,Eday,188350.32,90843
rsds,Surface Downwelling Shortwave Radiation,day,day,180767.31,891795
zg,Geopotential Height,day,CFday,180569.59,22544
va,Northward Wind,day,Eday,175310.82,80479
wap,Omega (=dp/dt),day,CFday,175143.76,19076
hur,Relative Humidity,mon,Amon,159905.54,878106
uas,Eastward Near-Surface Wind,day,day,159642.34,855194
vas,Northward Near-Surface Wind,day,day,158371.07,856796
uas,Eastward Near-Surface Wind,3hr,3hr,156468.27,122143
tas,Near-Surface Air Temperature,3hr,3hr,152437.22,154678
vmo,Ocean Mass Y Transport,mon,Omon,152395.02,180276
huss,Near-Surface Specific Humidity,day,day,152148.89,856911
vas,Northward Near-Surface Wind,3hr,3hr,149703.81,117612
ta,Air Temperature,day,Eday,145842.34,100488
zg,Geopotential Height,day,Eday,145484.24,87085
no3,Dissolved Nitrate Concentration,mon,Omon,141917.84,73153
huss,Near-Surface Specific Humidity,3hr,3hr,136200.61,103912
o2,Dissolved Oxygen Concentration,mon,Omon,134685.91,91732
umo,Ocean Mass X Transport,mon,Omon,131761.65,163168
hus,Specific Humidity,day,Eday,128708.43,59278
pr,Precipitation,mon,Amon,127100.43,12914613
chl,Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,mon,Omon,126208.11,91571
pr,Precipitation,1hr,E1hr,124642.89,29441
dissic,Dissolved Inorganic Carbon Concentration,mon,Omon,119949.37,68731
cl,Percentage Cloud Cover,mon,Amon,113304.34,148921
wmo,Upward Ocean Mass Transport,mon,Omon,109957.72,117942
tas,Near-Surface Air Temperature,mon,Amon,109688.68,13744022
ph,pH,mon,Omon,104787.89,59342
po4,Total Dissolved Inorganic Phosphorus Concentration,mon,Omon,104709.79,42830
tas,Near-Surface Air Temperature,3hrPt,3hr,103128.33,115355
uas,Eastward Near-Surface Wind,3hrPt,3hr,101477.21,77887
vas,Northward Near-Surface Wind,3hrPt,3hr,97812.60,78000
ua,Eastward Wind,mon,AERmon,92633.55,104281
cli,Mass Fraction of Cloud Ice,day,CFday,89823.28,12385
rlds,Surface Downwelling Longwave Radiation,day,day,88209.60,459598
cl,Percentage Cloud Cover,day,CFday,87530.64,18274
huss,Near-Surface Specific Humidity,3hrPt,3hr,86901.59,73554
psl,Sea Level Pressure,6hrPt,6hrPlevPt,86218.42,208783
talk,Total Alkalinity,mon,Omon,84194.09,46283
uas,Eastward Near-Surface Wind,3hr,E3hr,83668.29,68101
mrsol,Total Water Content of Soil Layer,day,Eday,82868.20,99185
va,Northward Wind,mon,AERmon,82275.85,82443
hfls,Surface Upward Latent Heat Flux,day,day,79465.84,333396
si,Total Dissolved Inorganic Silicon Concentration,mon,Omon,78743.65,29755
sfcwindmax,Daily Maximum Near-Surface Wind Speed,day,day,77993.89,337518
ta,Air Temperature,mon,CFmon,77114.75,108563
vas,Northward Near-Surface Wind,3hr,E3hr,76758.69,57968
agessc,Sea Water Age Since Surface Contact,mon,Omon,73738.20,42134
rsds,Surface Downwelling Shortwave Radiation,3hr,3hr,73194.92,87182
clw,Mass Fraction of Cloud Liquid Water,day,CFday,72758.83,14678
rlut,TOA Outgoing Longwave Radiation,day,day,72233.61,351962
thkcello,Ocean Model Cell Thickness,mon,Omon,71224.27,127291
hfss,Surface Upward Sensible Heat Flux,day,day,68666.42,301858
hus,Specific Humidity,mon,CFmon,65345.48,78789
cli,Mass Fraction of Cloud Ice,mon,Amon,63068.13,68981
wap,Omega (=dp/dt),day,Eday,61273.14,24586
dfe,Dissolved Iron Concentration,mon,Omon,60166.08,23035
rlds,Surface Downwelling Longwave Radiation,3hr,3hr,57679.29,48682
zg,Geopotential Height,mon,AERmon,56776.76,91342
clw,Mass Fraction of Cloud Liquid Water,mon,Amon,55932.38,79401
obvfsq,Square of Brunt Vaisala Frequency in Sea Water,mon,Omon,55067.92,68769
psl,Sea Level Pressure,mon,Amon,53983.42,8943944
pfull,Pressure at Model Full-Levels,day,CFday,53003.00,8852
bigthetao,Sea Water Conservative Temperature,mon,Omon,52593.45,106222
zg500,Geopotential Height at 500hPa,day,AERday,51856.15,389393
