number_of_downloads,total_size_GB,month,year
573468,72793.22,1,2018
899318,94687.00,2,2018
390618,118734.71,3,2018
251996,82210.86,4,2018
376799,143301.75,5,2018
332567,78904.95,6,2018
314675,99837.54,7,2018
407945,147016.16,8,2018
399297,120198.23,9,2018
461504,193199.72,10,2018
409550,185920.65,11,2018
411888,214567.20,12,2018
413345,211240.57,1,2019
408078,328460.53,2,2019
645792,635084.47,3,2019
700684,559873.79,4,2019
851481,613151.53,5,2019
572696,490550.04,6,2019
2300044,775569.85,7,2019
1895794,650715.32,8,2019
1970368,658056.64,9,2019
2884621,837230.52,10,2019
3403637,995537.33,11,2019
2517481,825376.10,12,2019
2599286,823089.98,1,2020
3180113,726761.60,2,2020
4403285,889281.13,3,2020
4540949,1123513.40,4,2020
5030568,982043.39,5,2020
3869211,832371.09,6,2020
5152977,749410.87,7,2020
4352165,579479.77,8,2020
6594692,743871.58,9,2020
7110872,1054455.78,10,2020
6480635,948648.82,11,2020
6456452,964382.46,12,2020
6759490,1040847.98,1,2021
4576524,983318.97,2,2021
4565093,920627.63,3,2021
2752746,545389.39,4,2021
3296931,452814.54,5,2021
3276567,454676.47,6,2021
2945474,490074.32,7,2021
3175464,541659.59,8,2021
4469598,670540.31,9,2021
5110290,873913.61,10,2021
4472374,766403.51,11,2021
4179081,667567.66,12,2021
3269228,607604.41,1,2022
2902883,730936.26,2,2022
3258742,732296.77,3,2022
3446031,777799.59,4,2022
2936783,553895.56,5,2022
2419785,619515.61,6,2022
2659187,523669.87,7,2022
2682779,467822.25,8,2022
2094205,452892.59,9,2022
3873283,664063.07,10,2022
3955948,645818.38,11,2022
2130075,499721.80,12,2022
1870108,478439.55,1,2023
2571497,580214.52,2,2023
3228298,664998.47,3,2023
2855654,522422.32,4,2023
6323956,691796.07,5,2023
9139985,636419.92,6,2023
7266300,661982.35,7,2023
3177443,573030.37,8,2023
3107989,639365.55,9,2023
2964878,627558.12,10,2023
7478586,1225320.36,11,2023
12102805,1009866.90,12,2023
13675848,1067374.42,1,2024
4879957,837892.97,2,2024
4617300,846740.32,3,2024
807826,238693.63,4,2024
2320919,480477.48,5,2024
863320,187023.56,6,2024
2185488,399487.55,7,2024
3358150,746359.98,8,2024
3223196,630682.74,9,2024
3270728,834809.23,10,2024
3998326,875656.04,11,2024
2413650,607320.99,12,2024
2223695,514604.58,1,2025
1635159,361710.33,2,2025
