,DRS_ID,MIP_ERA,ACTIVITY_ID,INSTITUTION_ID,SOURCE_ID,EXPERIMENT_ID,DOI,Data Reference,License,License Uri,num_citation
0,CMIP6.AerChemMIP.AS-RCEC.TaiESM1,CMIP6,AerChemMIP,AS-RCEC,TaiESM1,,https://doi.org/10.22033/ESGF/CMIP6.9682,"Tsai, I-Chun; Lee, Wei-Liang; Hsu, Huang-Hsiung (2020). AS-RCEC TaiESM1.0 model output prepared for CMIP6 AerChemMIP. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.9682 .",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,3.0
1,CMIP6.AerChemMIP.AS-RCEC.TaiESM1.hist-piNTCF,CMIP6,AerChemMIP,AS-RCEC,TaiESM1,hist-piNTCF,https://doi.org/10.22033/ESGF/CMIP6.9744,"Tsai, I-Chun; Lee, Wei-Liang; Hsu, Huang-Hsiung (2021). AS-RCEC TaiESM1.0 model output prepared for CMIP6 AerChemMIP hist-piNTCF. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.9744 .",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,0.0
2,CMIP6.AerChemMIP.AS-RCEC.TaiESM1.histSST,CMIP6,AerChemMIP,AS-RCEC,TaiESM1,histSST,https://doi.org/10.22033/ESGF/CMIP6.9747,"Tsai, I-Chun; Lee, Wei-Liang; Hsu, Huang-Hsiung (2020). AS-RCEC TaiESM1.0 model output prepared for CMIP6 AerChemMIP histSST. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.9747 .",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,0.0
3,CMIP6.AerChemMIP.AS-RCEC.TaiESM1.histSST-piNTCF,CMIP6,AerChemMIP,AS-RCEC,TaiESM1,histSST-piNTCF,https://doi.org/10.22033/ESGF/CMIP6.9752,"Tsai, I-Chun; Lee, Wei-Liang; Hsu, Huang-Hsiung (2020). AS-RCEC TaiESM1.0 model output prepared for CMIP6 AerChemMIP histSST-piNTCF. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.9752 .",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,0.0
4,CMIP6.AerChemMIP.AS-RCEC.TaiESM1.piClim-NTCF,CMIP6,AerChemMIP,AS-RCEC,TaiESM1,piClim-NTCF,https://doi.org/10.22033/ESGF/CMIP6.9790,"Tsai, I-Chun; Lee, Wei-Liang; Hsu, Huang-Hsiung (2021). AS-RCEC TaiESM1.0 model output prepared for CMIP6 AerChemMIP piClim-NTCF. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.9790 .",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,0.0
5,CMIP6.AerChemMIP.BCC.BCC-ESM1,CMIP6,AerChemMIP,BCC,BCC-ESM1,,https://doi.org/10.22033/ESGF/CMIP6.1733,"Zhang, Jie; Wu, Tongwen; Shi, Xueli; Zhang, Fang; Li, Jianglong; Chu, Min; Liu, Qianxia; Yan, Jinghui; Ma, Qiang; Wei, Min (2019). BCC BCC-ESM1 model output prepared for CMIP6 AerChemMIP. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.1733 .",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,6.0
6,CMIP6.AerChemMIP.BCC.BCC-ESM1.hist-piAer,CMIP6,AerChemMIP,BCC,BCC-ESM1,hist-piAer,https://doi.org/10.22033/ESGF/CMIP6.2931,"Zhang, Jie; Wu, Tongwen; Shi, Xueli; Zhang, Fang; Li, Jianglong; Chu, Min; Liu, Qianxia; Yan, Jinghui; Ma, Qiang; Wei, Min (2020). BCC BCC-ESM1 model output prepared for CMIP6 AerChemMIP hist-piAer. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.2931 .",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,0.0
7,CMIP6.AerChemMIP.BCC.BCC-ESM1.hist-piNTCF,CMIP6,AerChemMIP,BCC,BCC-ESM1,hist-piNTCF,https://doi.org/10.22033/ESGF/CMIP6.2932,"Zhang, Jie; Wu, Tongwen; Shi, Xueli; Zhang, Fang; Li, Jianglong; Chu, Min; Liu, Qianxia; Yan, Jinghui; Ma, Qiang; Wei, Min (2019). BCC BCC-ESM1 model output prepared for CMIP6 AerChemMIP hist-piNTCF. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.2932 .",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,1.0
8,CMIP6.AerChemMIP.BCC.BCC-ESM1.histSST,CMIP6,AerChemMIP,BCC,BCC-ESM1,histSST,https://doi.org/10.22033/ESGF/CMIP6.2940,"Zhang, Jie; Wu, Tongwen; Shi, Xueli; Zhang, Fang; Li, Jianglong; Chu, Min; Liu, Qianxia; Yan, Jinghui; Ma, Qiang; Wei, Min (2019). BCC BCC-ESM1 model output prepared for CMIP6 AerChemMIP histSST. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.2940 .",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,0.0
9,CMIP6.AerChemMIP.BCC.BCC-ESM1.histSST-piAer,CMIP6,AerChemMIP,BCC,BCC-ESM1,histSST-piAer,https://doi.org/10.22033/ESGF/CMIP6.2942,"Zhang, Jie; Wu, Tongwen; Shi, Xueli; Zhang, Fang; Li, Jianglong; Chu, Min; Liu, Qianxia; Yan, Jinghui; Ma, Qiang; Wei, Min (2021). BCC BCC-ESM1 model output prepared for CMIP6 AerChemMIP histSST-piAer. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.2942 .",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,0.0
10,CMIP6.AerChemMIP.BCC.BCC-ESM1.histSST-piCH4,CMIP6,AerChemMIP,BCC,BCC-ESM1,histSST-piCH4,https://doi.org/10.22033/ESGF/CMIP6.2943,"Zhang, Jie; Wu, Tongwen; Shi, Xueli; Zhang, Fang; Li, Jianglong; Chu, Min; Liu, Qianxia; Yan, Jinghui; Ma, Qiang; Wei, Min (2019). BCC BCC-ESM1 model output prepared for CMIP6 AerChemMIP histSST-piCH4. Earth System Grid Federation. doi:https://doi.org/10.22033/ESGF/CMIP6.2943 .",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,0.0
