,mip_table,variable_code,upload_size_GB,number_of_uploads,unique
0,3hr,clt,22190.905983901583,19644.0,clt_3hr
1,3hr,hfls,29391.92752747424,16900.0,hfls_3hr
2,3hr,hfss,28959.709357195534,16892.0,hfss_3hr
3,3hr,huss,85204.17928166687,87655.0,huss_3hr
4,3hr,mrro,8566.979082993232,15170.0,mrro_3hr
5,3hr,mrsos,9529.163303663954,13586.0,mrsos_3hr
6,3hr,pr,108692.71788123902,106672.0,pr_3hr
7,3hr,prc,2995.5830919751897,6209.0,prc_3hr
8,3hr,prsn,8612.412514491007,9427.0,prsn_3hr
9,3hr,ps,14962.161252783611,9194.0,ps_3hr
10,3hr,rlds,18388.08978414256,8377.0,rlds_3hr
11,3hr,rldscs,16074.243854887784,7799.0,rldscs_3hr
12,3hr,rlus,15970.91832082998,8123.0,rlus_3hr
13,3hr,rsds,15820.445784973912,9921.0,rsds_3hr
14,3hr,rsdscs,10775.092693539336,7784.0,rsdscs_3hr
15,3hr,rsdsdiff,2864.8650014949962,1714.0,rsdsdiff_3hr
16,3hr,rsus,12427.628241951577,8422.0,rsus_3hr
17,3hr,rsuscs,10828.558602670208,7877.0,rsuscs_3hr
18,3hr,tas,68430.25055785198,95990.0,tas_3hr
19,3hr,tos,42915.86995763797,6508.0,tos_3hr
20,3hr,tslsi,3641.7464762730524,1689.0,tslsi_3hr
21,3hr,uas,17098.53968354687,14117.0,uas_3hr
22,3hr,vas,82640.81303957757,81825.0,vas_3hr
23,6hrLev,bs550aer,153.66508687008172,87.0,bs550aer_6hrLev
24,6hrLev,ec550aer,944.5403672084212,303.0,ec550aer_6hrLev
25,6hrLev,hus,304374.79945522174,20743.0,hus_6hrLev
26,6hrLev,pfull,16083.616559448652,967.0,pfull_6hrLev
27,6hrLev,ps,5245.88904073555,6761.0,ps_6hrLev
28,6hrLev,ta,307989.1379082808,24891.0,ta_6hrLev
29,6hrLev,ua,422878.96293842886,26914.0,ua_6hrLev
30,6hrLev,va,448952.5045853164,26743.0,va_6hrLev
31,6hrPlev,bldep,649.8233956471086,16869.0,bldep_6hrPlev
32,6hrPlev,hurs,11845.319040098228,34590.0,hurs_6hrPlev
33,6hrPlev,hus4,0.0,0.0,hus4_6hrPlev
34,6hrPlev,pr,17105.691835073754,26783.0,pr_6hrPlev
35,6hrPlev,prhmax,1368.5916703334078,3187.0,prhmax_6hrPlev
36,6hrPlev,psl,15539.868680617772,26694.0,psl_6hrPlev
37,6hrPlev,rv850,1864.7159980731085,2806.0,rv850_6hrPlev
38,6hrPlev,sfcwind,2995.382154546678,9827.0,sfcwind_6hrPlev
39,6hrPlev,tas,13782.237125894986,22246.0,tas_6hrPlev
40,6hrPlev,ua100m,437.13677526824176,767.0,ua100m_6hrPlev
41,6hrPlev,uas,25489.4186214637,34387.0,uas_6hrPlev
42,6hrPlev,va100m,440.1771023059264,767.0,va100m_6hrPlev
43,6hrPlev,vas,23210.56365600135,32152.0,vas_6hrPlev
44,6hrPlev,wap4,0.0,0.0,wap4_6hrPlev
45,6hrPlev,wsgmax100m,0.0,0.0,wsgmax100m_6hrPlev
46,6hrPlev,wsgmax10m,1476.4400375531986,2638.0,wsgmax10m_6hrPlev
47,6hrPlev,zg1000,6981.628372526728,10700.0,zg1000_6hrPlev
48,6hrPlevPt,cldicemxrat27,0.0,0.0,cldicemxrat27_6hrPlevPt
49,6hrPlevPt,cldwatmxrat27,0.0,0.0,cldwatmxrat27_6hrPlevPt
50,6hrPlevPt,dtauc,0.0,0.0,dtauc_6hrPlevPt
51,6hrPlevPt,dtaus,0.0,0.0,dtaus_6hrPlevPt
52,6hrPlevPt,grplmxrat27,0.0,0.0,grplmxrat27_6hrPlevPt
53,6hrPlevPt,hus27,0.0,0.0,hus27_6hrPlevPt
54,6hrPlevPt,hus7h,789.999689700082,3153.0,hus7h_6hrPlevPt
55,6hrPlevPt,huss,6871.493564641103,9767.0,huss_6hrPlevPt
56,6hrPlevPt,lwsffluxaero,2598.2196261221543,3605.0,lwsffluxaero_6hrPlevPt
57,6hrPlevPt,lwtoafluxaerocs,1006.3537673670799,3230.0,lwtoafluxaerocs_6hrPlevPt
58,6hrPlevPt,mrsol,11832.11861338932,7368.0,mrsol_6hrPlevPt
59,6hrPlevPt,mrsos,3129.731473406777,7996.0,mrsos_6hrPlevPt
60,6hrPlevPt,psl,18406.307757074013,101288.0,psl_6hrPlevPt
61,6hrPlevPt,rainmxrat27,0.0,0.0,rainmxrat27_6hrPlevPt
