experiment_name,number_of_downloads,total_size_GB
historical,74948855,14301053.92
ssp585,18729733,4676138.99
ssp245,43389071,4272423.51
picontrol,20309730,3931228.96
ssp126,10923775,2475419.44
ssp370,11002427,2323535.11
highressst-present,2180322,1030513.58
amip,1527968,984812.30
abrupt-4xco2,4460393,903344.43
hist-1950,3885627,827898.75
1pctco2,3451781,717789.12
dcppa-hindcast,15948090,652159.32
highressst-future,685937,387188.82
highres-future,1625186,327012.93
control-1950,1551365,321640.56
hist-nat,639426,295597.58
ssp119,3414171,281392.49
hist-ghg,571351,275069.95
hist-aer,541771,251385.57
omip2,248715,163998.28
ssp534-over,984327,157500.83
ssp460,1103497,114272.00
esm-picontrol,452234,102688.08
midholocene,533338,100944.93
ssp434,1360060,97973.95
omip1,233937,96831.37
esm-hist,363690,96799.88
lig127k,412731,80358.84
hist-nolu,392819,74022.37
1pctco2-bgc,481565,73005.43
midpliocene-eoi400,182235,44595.41
1pctco2-cdr,95531,41941.63
hist-piaer,186185,39670.07
pdsst-pdsic,832645,38626.40
lgm,139524,36114.90
1pctco2-rad,296183,35471.65
hist-pintcf,323127,34631.85
pdsst-futarcsic,694071,30867.24
ssp370-lowntcf,171826,28692.66
hist-strato3,45150,28315.95
dcppc-amv-pos,264843,25913.83
hist-bgc,44556,24900.25
esm-ssp585,231669,24771.46
deforest-globe,127141,24571.24
dcppc-amv-neg,259894,24015.66
hist-1950hc,122241,22055.71
past1000,375417,21527.37
amip-hist,43135,21511.14
past2k,163375,20966.92
ssp245-cov-strgreen,228458,18878.44
histsst,82380,18803.14
amip-p4k,34136,17610.10
ssp245-ghg,39913,16714.77
ssp245-cov-modgreen,206708,16610.99
hist-sol,41862,16112.03
g6sulfur,83528,15521.42
hist-volc,32897,15428.02
amip-lfmip-pdlc,158264,14917.26
pdsst-piarcsic,303736,14599.76
abrupt-2xco2,21196,14153.60
ssp370-ssp126lu,42944,13897.56
ssp245-nat,35875,13632.72
faf-all,14862,13507.64
ssp245-cov-fossil,180883,13068.97
g6solar,55427,13033.75
futsst-pdsic,233206,12274.30
ssp126-ssp370lu,33790,11924.33
dcppc-atl-control,75060,11734.51
esm-1pct-brch-1000pgc,76131,11253.69
faf-passiveheat,12816,10981.21
faf-water,13419,10807.25
histsst-pintcf,21972,10723.66
dcppc-atl-pacemaker,16420,10588.46
land-hist,174481,10530.35
dcppc-amv-extrop-pos,61350,10490.64
faf-heat,14178,10471.93
faf-stress,11698,10393.73
piclim-control,155535,10279.72
amip-lfmip-rmlc,111022,9923.61
amip-4xco2,19751,9844.29
dcppc-amv-extrop-neg,59227,9618.57
dcppc-pac-pacemaker,13768,9416.01
g1,12217,9322.72
pdsst-futbkseassic,147859,9216.87
abrupt-0p5xco2,11241,8476.70
ssp245-aer,28317,8086.93
pisst-pdsic,140471,7747.62
ssp585-bgc,11445,7452.09
hist-co2,14543,7160.60
ssp245-covid,78284,6921.80
dcppc-amv-trop-neg,52210,6823.67
dcppc-pac-control,39472,6688.65
pdsst-futantsic,152455,6618.15
piclim-histall,69961,6010.22
ssp370sst,51028,5938.14
dcppc-ipv-pos,30163,5814.88
histsst-pich4,44171,5720.72
amip-future4k,17203,5692.29
dcppc-amv-trop-pos,41958,5633.46
dcppc-ipv-neg,27721,5442.93
dcppa-assim,11697,5354.61
pisst-pisic,89849,5269.98
piclim-aer,97772,5165.86
faf-heat-na50pct,6793,5052.58
amip-piforcing,8674,4989.26
ssp370sst-lowntcf,37252,4789.75
abrupt-solp4p,5682,4415.05
histsst-piaer,61981,4213.94
spinup-1950,14008,4213.57
piclim-histaer,78040,4173.41
piclim-2xdust,33481,4159.82
ssp370-lowntcfch4,38528,3897.33
ssp370pdsst,33397,3829.73
abrupt-solm4p,4230,3705.70
dcppb-forecast,93862,3664.72
pdsst-futokhotsksic,81641,3664.39
omip1-spunup,1604,3373.30
dcppc-ipv-nextrop-neg,35597,3368.42
ssp534-over-bgc,4632,3359.21
amip-m4k,7117,3070.04
ssp245-strato3,6904,2898.41
esm-ssp585-ssp126lu,11685,2835.73
1pctco2ndep,8766,2749.66
hist-resipo,10473,2697.75
ssp370sst-lowntcfch4,27569,2625.37
dcppc-ipv-nextrop-pos,26604,2592.44
piclim-bc,8483,2557.38
piclim-ch4,13903,2528.20
piclim-histghg,33234,2444.75
piclim-ntcf,11475,2438.08
piclim-hc,5009,2318.77
piclim-so2,6219,2226.99
pa-futarcsic,153927,2194.48
histsst-1950hc,4916,2183.33
1pctco2ndep-bgc,7455,2172.72
land-hist-cruncep,8534,2166.79
hist-resamo,2724,2116.97
pa-pdsic,140743,2103.84
piclim-4xco2,25104,2066.56
amip-lwoff,3771,2037.57
ssp370sst-ssp126lu,2021,2003.77
pa-pdsic-ext,27431,1992.10
esm-1pct-brch-2000pgc,6827,1970.54
histsst-pin2o,1660,1943.20
piclim-ghg,16716,1828.95
piclim-histnat,26430,1798.05
pa-futarcsic-ext,34350,1784.91
esm-1pct-brch-750pgc,6240,1738.09
land-hist-wfdei,1979,1719.77
hist-totalo3,7895,1713.81
piclim-anthro,16917,1661.06
land-nolu,69231,1577.32
piclim-2xnox,1980,1567.26
land-hist-princeton,6825,1561.41
pisst-pxk,2165,1553.91
amip-p4k-lwoff,3142,1483.80
picontrol-spinup,2150,1477.38
piclim-2xvoc,3467,1417.34
faf-heat-na0pct,1328,1414.64
land-hist-altstartyear,28370,1408.37
piclim-oc,5083,1366.70
pisst,3064,1345.40
piclim-2xfire,5577,1323.77
piclim-2xss,5615,1296.15
pdsst-piantsic,80785,1272.10
amip-a4sst-4xco2,1987,1261.56
esm-pi-co2pulse,7003,1241.22
histsst-pio3,856,1237.26
hist-spaer-all,6614,1216.44
pisst-4xco2-rad,2188,1200.88
piclim-nox,2009,1198.58
esm-ssp534-over,2045,1167.07
giss-e2-1-g,5700,1164.93
ssp370sst-lowaer,7696,1124.24
a4sst,2495,1112.96
piclim-voc,1660,1091.55
piclim-n2o,2929,1087.27
esm-picontrol-spinup,1702,1079.72
piclim-2xdms,4823,1071.30
a4sstice,2571,1068.66
dcppc-hindcast-noagung,9202,1052.01
pisst-4xco2,2483,1041.93
piclim-lu,18711,1026.07
a4sstice-4xco2,2441,1010.22
pa-piarcsic,68156,1003.77
ssp370sst-lowbc,3615,994.50
aqua-control,5137,971.92
esm-pi-cdr-pulse,5518,970.41
g7cirrus,1940,918.19
ssp585-withism,3834,836.36
dcppc-hindcast-nopinatubo,8832,828.80
dcppc-hindcast-noelchichon,8828,818.73
land-cco2,16572,817.83
land-cclim,17096,803.72
aqua-p4k,4393,722.70
amip-lfmip-pobs,1228,695.51
ssp370sst-lowch4,949,642.01
aqua-4xco2,3568,635.79
omip2-spunup,2953,533.73
historical-withism,2632,487.64
hist-o3,1472,452.06
volc-long-eq,4538,433.36
ssp370sst-lowo3,693,405.97
piclim-o3,950,400.89
amip-tip,711,337.98
dcppc-forecast-addelchichon,2751,335.44
land-noshiftcultivate,30846,319.10
dcppc-forecast-addagung,3257,317.03
1pctco2-4xext,2618,300.90
aqua-p4k-lwoff,2648,298.43
aqua-control-lwoff,3074,296.09
picontrol-withism,2096,277.83
modelsst-futarcsic,9523,264.89
amip-tip-nosh,567,262.78
dcppc-forecast-addpinatubo,2559,235.93
faf-antwater-stress,289,230.49
esm-1pctco2,2423,222.53
pa-futantsic,21060,208.58
ssp245-cov-aer,1171,195.75
pa-piantsic,20468,194.18
esm-ssp585-ocn-alk,186,192.14
land-crop-nofert,1675,185.27
piclim-nh3,227,178.31
ssp245-cov-ghg,1047,173.73
pdsst-pdsicsit,27647,173.22
piclim-spaer-anthro,2390,171.65
lfmip-pdlc,414,162.38
pdsst-futarcsicsit,25331,161.52
volc-pinatubo-full,7531,151.26
amip-hld,412,149.36
transient-deglaciation-prescribed-glac1d-methane,3874,143.65
lfmip-rmlc,417,143.44
modelsst-pdsic,8622,140.89
land-nofire,2708,110.81
historical-ext,2056,107.68
hist-ghg-cmip5,330,95.72
hist-aer-cmip5,318,94.97
hist-nat-cmip5,302,89.50
piclim-spaer-aer,2113,88.73
land-nowoodharv,3531,83.30
historical-cmip5,358,77.21
1pctco2to4x-withism,1522,76.65
land-crop-noirrig,667,65.17
land-crop-noirrigfert,419,53.72
picontrol-cmip5,67,39.76
esm-ssp585ext,157,38.62
transient-deglaciation-prescribed-glac1d,2943,37.22
land-crop-grass,939,37.05
histsst-nolu,86,31.42
rcp85-cmip5,256,26.03
transient-deglaciation-prescribed-ice6g,1947,24.24
land-hist-altlu1,1836,24.21
rad-irf,49256,22.19
volc-pinatubo-strat,1107,21.04
volc-pinatubo-surf,1150,20.57
land-hist-altlu2,1812,19.37
rcp45-cmip5,187,14.05
rcp26-cmip5,187,12.89
esm-ssp585-ocn-alk-stop,41,12.67
piclim-spaer-histall,155,8.87
piclim-spaer-histaer,102,7.85
dcppc-atl-spg,680,2.93
piclim-2xco2,19,0.89
noresm2-lm,355,0.43
be,1,0.05
ssp585-future-methane,4,0.02
ssp126-future-methane,13,0.01
ssp370-future-methane,6,0.01
ssp119-future-methane,1,0.01
ave,13,0.00
