Institute,Country,number_of_datasets,total_size_TB
AER,USA,24,0
AS-RCEC,Taiwan,106780,245.69
AWI,Germany,146457,335.52
BCC,Spain,142028,407.61
CAMS,China,6807,25.37
CAS,China,207389,586.82
CCCR-IITM,India,3855,79.89
CCCma,Canada,1912046,974.79
CMCC,Italy,718703,619.6
CNRM-CERFACS,France,787551,1674.43
CSIRO,Australia,323856,670.33
CSIRO-ARCCSS,Australia,49179,165.98
CSIRO-COSIMA,Australia,822,29.94
DKRZ,Germany,56685,586.15
DWD,Germany,13862,67.56
E3SM-Project,USA,20529,70.83
EC-Earth-Consortium,Europe,749155,3883.03
ECMWF,Europe,6600,85.06
FIO-QLNM,China,7692,16.07
HAMMOZ-Consortium,Europe,42527,305.08
INM,Russia,21669,80.55
IPSL,France,2799659,4207.71
KIOST,Korea,7095,35.66
LLNL,USA,358,0.29
MIROC,Japan,1155086,1930.67
MOHC,UK,899399,2223.86
MPI-M,Germany,632845,3104.15
MRI,Japan,506560,1722.91
NASA-GISS,USA,362078,491.04
NCAR,USA,1615334,1521.02
NCC,Norway,1332196,845.98
NERC,UK,17231,98.74
NIMS-KMA,Korea,20865,86.61
NIWA,New Zealand,2925,6.12
NOAA-GFDL,USA,38184,158.95
NTU,Taiwan,367,4.98
NUIST,China,8290,45.92
RTE-RRTMGP-Consortium,USA,8,0
RUBISCO,USA,484,0.25
SNU,Korea,3250,29.73
THU,China,4373,9.21
UA,USA,1427,0.71
UCI,USA,48719,1.1
UCSB,USA,4154,10.9
UHH,Germany,16,0
