Notes:,Based on https://wcrp-cmip.github.io/CMIP6_CVs/docs/CMIP6_experiment_id.html,
,2 experiments were not listed there: hist-o3 and piclim-2xco2 => no value in activitiy,
,"some erroneous entries exist at the bottom of the table (marked as 'weirdness' in the Notes column): giss-e2-1-g, noresm2-lm, be, ave => no value in activity",
,,
experiment_name,Activity,Notes
historical,CMIP,historical
ssp585,ScenarioMIP,
ssp245,ScenarioMIP,
picontrol,CMIP,Deck
ssp126,ScenarioMIP,
ssp370,"ScenarioMIP, AerChemMIP",
highressst-present,HighResMIP,
amip,CMIP,Deck
abrupt-4xco2,CMIP,Deck
hist-1950,HighResMIP,
1pctco2,CMIP,Deck
dcppa-hindcast,DCPP,
highressst-future,HighResMIP,
highres-future,HighResMIP,
control-1950,HighResMIP,
hist-nat,DAMIP,
ssp119,ScenarioMIP,
hist-ghg,DAMIP,
hist-aer,DAMIP,
omip2,OMIP,
ssp534-over,ScenarioMIP,
ssp460,ScenarioMIP,
esm-picontrol,CMIP,"Deck, emission-driven"
midholocene,PMIP,
ssp434,ScenarioMIP,
omip1,OMIP,
esm-hist,CMIP,"Historical, emission-driven"
lig127k,PMIP,
hist-nolu,LUMIP,
1pctco2-bgc,ISMIP6,
midpliocene-eoi400,PMIP,
1pctco2-cdr,ISMIP6,
hist-piaer,AerChemMIP,
pdsst-pdsic,PAMIP,
lgm,PMIP,
1pctco2-rad,C4MIP,
hist-pintcf,AerChemMIP,
pdsst-futarcsic,PAMIP,
ssp370-lowntcf,AerChemMIP,
hist-strato3,DAMIP,
dcppc-amv-pos,DCPP,
hist-bgc,C4MIP,
esm-ssp585,C4MIP,Emission-driven
deforest-globe,LUMIP,
dcppc-amv-neg,DCPP,
hist-1950hc,AerChemMIP,
past1000,PMIP,
amip-hist,GMMIP,
past2k,PMIP,
ssp245-cov-strgreen,DAMIP,
histsst,AerChemMIP,
amip-p4k,CFMIP,
ssp245-ghg,DAMIP,
ssp245-cov-modgreen,DAMIP,
hist-sol,DAMIP,
g6sulfur,GeoMIP,
hist-volc,DAMIP,
amip-lfmip-pdlc,LS3MIP,
pdsst-piarcsic,PAMIP,
abrupt-2xco2,CFMIP,
ssp370-ssp126lu,LUMIP,
ssp245-nat,DAMIP,
faf-all,FAFMIP,
ssp245-cov-fossil,DAMIP,
g6solar,GeoMIP,
futsst-pdsic,PAMIP,
ssp126-ssp370lu,LUMIP,
dcppc-atl-control,DCPP,
esm-1pct-brch-1000pgc,"C4MIP, CDRMIP",
faf-passiveheat,FAFMIP,
faf-water,FAFMIP,
histsst-pintcf,AerChemMIP,
dcppc-atl-pacemaker,DCPP,
land-hist,"LS3MIP, LUMIP",land only
dcppc-amv-extrop-pos,DCPP,
faf-heat,FAFMIP,
faf-stress,FAFMIP,
piclim-control,"RFMIP, AerChemMIP",
amip-lfmip-rmlc,LS3MIP,
amip-4xco2,CFMIP,
dcppc-amv-extrop-neg,DCPP,
dcppc-pac-pacemaker,DCPP,
g1,GeoMIP,
pdsst-futbkseassic,PAMIP,
abrupt-0p5xco2,CFMIP,
ssp245-aer,DAMIP,
pisst-pdsic,PAMIP,
ssp585-bgc,C4MIP,
hist-co2,DAMIP,
ssp245-covid,DAMIP,
dcppc-amv-trop-neg,DCPP,
dcppc-pac-control,DCPP,
pdsst-futantsic,PAMIP,
piclim-histall,RFMIP,
ssp370sst,AerChemMIP,
dcppc-ipv-pos,DCPP,
histsst-pich4,AerChemMIP,
amip-future4k,CFMIP,
dcppc-amv-trop-pos,DCPP,
