variable_code,variable_long_name,time_frequency,total_size_GB,number_of_downloads
pr,Precipitation,day,290493.23,993380
tasmax,Daily Maximum Near-Surface Air Temperature,day,186388.52,743201
tas,Near-Surface Air Temperature,day,182578.28,646562
pr,Precipitation,1hr,180812.02,79064
tasmin,Daily Minimum Near-Surface Air Temperature,day,171493.44,643415
sfcWind,Near-Surface Wind Speed,3hr,117971.56,131793
sfcWind,Near-Surface Wind Speed,day,109265.08,293329
tas,Near-Surface Air Temperature,3hr,101696.05,168338
rsds,Surface Downwelling Shortwave Radiation,day,99954.97,229071
hurs,Near-Surface Relative Humidity,day,90838.87,239206
hurs,Near-Surface Relative Humidity,3hr,89963.80,92116
pr,Precipitation,3hr,77248.90,132138
sfcWindmax,Daily Maximum Near-Surface Wind Speed,day,76444.07,167730
huss,Near-Surface Specific Humidity,day,71706.15,196169
huss,Near-Surface Specific Humidity,3hr,63438.56,63508
uas,Eastward Near-Surface Wind,day,58106.75,110639
vas,Northward Near-Surface Wind,day,57027.79,108128
rsds,Surface Downwelling Shortwave Radiation,3hr,51321.95,95305
ps,Surface Air Pressure,3hr,50146.07,65435
evspsbl,Evaporation,day,45702.31,117510
ps,Surface Air Pressure,day,43524.45,130249
psl,Sea Level Pressure,3hr,42791.26,70765
rlds,Surface Downwelling Longwave Radiation,3hr,38868.37,47469
tas,Near-Surface Air Temperature,1hr,37654.66,14101
wsgsmax,Daily Maximum Near-Surface Wind Speed of Gust,day,37075.45,88837
rlds,Surface Downwelling Longwave Radiation,day,37017.66,88902
clt,Total Cloud Fraction,3hr,35139.16,47275
uas,Eastward Near-Surface Wind,6hr,34883.27,69583
vas,Northward Near-Surface Wind,6hr,33013.05,64736
psl,Sea Level Pressure,day,31499.16,93068
va100m,Northward wind at 100 m,1hr,28373.36,5452
clt,Total Cloud Fraction,day,22659.17,63114
sfcWind,Near-Surface Wind Speed,1hr,22293.49,5577
ua100m,Eastward wind at 100 m,1hr,22289.92,4273
hurs,Near-Surface Relative Humidity,1hr,17340.21,4567
va850,Northward Wind,6hr,17256.95,30620
mrso,Total Soil Moisture Content,day,17243.48,67448
ua850,Eastward Wind,6hr,16941.28,30496
uas,Eastward Near-Surface Wind,3hr,16406.51,12777
vas,Northward Near-Surface Wind,3hr,16280.67,12449
rsus,Surface Upwelling Shortwave Radiation,day,15900.15,31152
hfls,Surface Upward Latent Heat Flux,day,15135.73,31885
zg500,Geopotential Height,day,14699.36,36502
rsus,Surface Upwelling Shortwave Radiation,3hr,12833.85,26723
prsn,Snowfall Flux,day,12081.08,59195
hus850,Specific Humidity,6hr,11993.75,24017
ua850,Eastward Wind,day,11877.97,24063
ta850,Air Temperature,6hr,11742.45,33003
ua200,Eastward Wind,6hr,11371.83,23205
va850,Northward Wind,day,11182.72,24715
va200,Northward Wind,6hr,11061.34,19490
va500,Northward Wind,6hr,10819.67,19755
ps,Surface Air Pressure,1hr,10724.81,3633
zg500,Geopotential Height,6hr,10570.50,30841
ua500,Eastward Wind,6hr,10471.12,19768
ts,Surface Temperature,day,10471.04,36584
ta200,Air Temperature,6hr,10388.37,25413
hfss,Surface Upward Sensible Heat Flux,day,9978.45,21296
huss,Near-Surface Specific Humidity,1hr,9855.21,2654
va500,Northward Wind,day,9428.43,17620
